year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,00442704,0.0,PO,dar,67026346,"Salesiánský klub mládeže, z. s. Dům Ignáce Stuchlého",2020-08-24,,,
2020,00442704,70000.0,PO,dar,25373951,SATUM CZECH s.r.o.,2020-08-10,,,
2020,00442704,30000.0,PO,dar,6695205,SENÁTOR 21,2020-10-05,,,
2020,00442704,70000.0,PO,dar,6695205,SENÁTOR 21,2020-08-26,,,
2020,00442704,15000.0,PO,dar,5339065,Siuda s.r.o.,2020-11-30,,,
2020,00442704,0.0,PO,dar,22897216,"SK Lázně Bohdaneč, z.s.",2020-09-04,,,
2020,00442704,0.0,PO,dar,15052401,"SK Rozhovice, z.s.",2020-09-04,,,
2020,00442704,0.0,PO,dar,43499082,"SK Rváčov, z.s.",2020-09-04,,,
2020,00442704,60000.0,PO,dar,8139458,SMC solution s.r.o.,2020-06-15,,,
2020,00442704,0.0,PO,dar,47238810,SOVT - RADIO spol. s r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,47886552,Společnost katolického domu v Blansku,2020-08-06,,,
2020,00442704,0.0,PO,dar,42660297,"Společnost Katolického domu v Bučovicích, z. s.",2020-08-06,,,
2020,00442704,25000.0,PO,dar,42660297,"Společnost Katolického domu v Bučovicích, z. s.",2020-10-07,,,
2020,00442704,0.0,PO,dar,44937318,"Společnost katolického domu v Lubině, z.s.",2020-09-05,,,
2020,00442704,2500000.0,PO,dar,9509071,Spolek pro podporu liberální demokracie ČR,2020-12-18,,,
2020,00442704,0.0,PO,dar,44946279,Spolek pro vybudování a udržování Lidového katolického domu v Blučině,2020-08-06,,,
2020,00442704,0.0,PO,dar,26640210,Spolek za staré Vrahovice,2020-08-25,,,
2020,00442704,30000.0,PO,dar,25968203,STAFI FINALIZACE STAVEB s.r.o.,2020-08-14,,,
2020,00442704,100000.0,PO,dar,46346171,"STAMOS Uherské Hradiště, spol. s r.o.",2020-09-09,,,
2020,00442704,0.0,PO,dar,18536506,Stanislav Karlík,2020-08-01,,,
2020,00442704,0.0,PO,dar,41603109,STAREX spol. s r.o.,2020-09-03,,,
2020,00442704,0.0,PO,dar,25920961,"STERA 3000, s.r.o.",2020-08-17,,,
2020,00442704,200000.0,PO,dar,409740,Strana zelených,2020-08-03,,,
2020,00442704,300000.0,PO,dar,409740,Strana zelených,2020-07-08,,,
2020,00442704,5000.0,PO,dar,75053713,Středová Miroslava MUDr.,2020-05-31,,,
2020,00442704,0.0,PO,dar,13641,"TANEX, akciová společnost",2020-09-07,,,
